name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
South Loop Cozy 2BdRm parking&WiFi&NetFlix,Lower West Side,Entire home/apt,2.0,1.0,10,1,59.0,0,480,84.0,41.85675,-87.65501,0
LARGE Private 1BR/Full Bath near U of Chicago,Woodlawn,Private room,1.0,1.0,3,5,59.0,88,330,98.0,41.77892,-87.59886,1
Musician's Quarters,Hyde Park,Entire home/apt,1.0,1.0,2,3,115.0,365,47,90.0,41.79963,-87.59477,0
Elegant Lakefront Near Wrigley Field Lake Michigan,Lincoln Park,Entire home/apt,1.0,1.0,2,1,182.0,337,154,92.0,41.93283,-87.64315,1
"Delightful Bedroom in vintage home,  Rogers Park",Rogers Park,Private room,1.0,1.0,1,3,81.0,364,27,99.0,42.004,-87.67503,0
Luxury Home South Loop,Loop,Entire home/apt,1.0,1.0,2,3,229.0,0,23,97.0,41.86991,-87.62856,0
The Hideout,Avondale,Entire home/apt,2.0,1.0,4,2,51.0,0,251,97.0,41.94663,-87.70783,1
High Floor South Loop GYM POOL,Near South Side,Entire home/apt,2.0,2.0,4,60,200.0,365,14,94.0,41.85453,-87.62052,1
Lincoln Park/DePaul  - Private room & bathroom,Lincoln Park,Private room,1.0,2.0,2,1,97.0,0,183,99.0,41.93101,-87.65878000000002,1
Admire Colorful Art at an Eclectic Wrigleyville Home,Lake View,Entire home/apt,3.0,2.0,8,3,101.0,312,14,99.0,41.94432000000001,-87.65988,1
Month to Month Your Home Away from Home,Lake View,Entire home/apt,3.0,2.0,6,3,83.0,343,35,99.0,41.94993,-87.66173,1
Wrigleyville Gem-Eclectic Artsy Style You'll Love!,Lake View,Entire home/apt,5.0,2.0,9,2,101.0,286,37,99.0,41.94943,-87.66129000000002,1
Furnished  2BR Dog friendly home,Logan Square,Entire home/apt,1.0,1.0,4,4,45.0,50,201,96.0,41.91472,-87.69073,1
Bucktown - Great Northside Location,Logan Square,Private room,1.0,1.0,2,1,75.0,89,199,92.0,41.92118,-87.68678,0
Great space in hip neighborhood!,West Town,Private room,1.0,1.0,2,3,36.0,110,188,90.0,41.89278,-87.66131,1
"1BR, Downtown, 1 block to Michigan",Near North Side,Entire home/apt,1.0,1.0,3,5,150.0,0,34,98.0,41.89975,-87.62785,0
Extra Bedroom with private entrance,West Ridge,Private room,1.0,1.0,2,30,50.0,319,24,96.0,41.98864,-87.69345,0
Downtown Urban Oasis 3BR + Huge Deck & Parking!,West Town,Entire home/apt,3.0,2.0,10,2,154.0,359,150,96.0,41.8967,-87.65734,1
Urban Farm Fun!  Walk to Metra/CTA,Humboldt Park,Entire home/apt,1.0,1.0,5,1,54.0,282,436,91.0,41.88876,-87.70858,0
Bright Spacious 2 BR,Norwood Park,Entire home/apt,2.0,1.0,5,1,95.0,262,173,98.0,41.99462,-87.7795,0
Casa Corazón (E) near Rush / UIC,Lower West Side,Private room,1.0,1.5,1,2,70.0,361,139,99.0,41.84828,-87.68021,1
Ukrainian Village Apartment,West Town,Entire home/apt,1.0,1.0,2,5,100.0,178,46,97.0,41.89984000000001,-87.6764,0
"Hyde Park / Kenwood, U of Chicago. Free bike.",Kenwood,Private room,1.0,1.0,2,2,32.0,180,21,98.0,41.80379,-87.60386,1
Wrigley Hostel - 4 Bed Private Room,Lake View,Private room,1.0,11.0,4,1,88.0,310,55,89.0,41.94594,-87.65431,0
Wrigley Hostel - 10 Bed Shared Room,Lake View,Shared room,1.0,11.0,1,1,28.0,276,310,90.0,41.94594,-87.65431,0
